domain,top_domain,traffic,primary_country_code,primary_country_share
lightmailer-bap.web.de,web.de,78458687,DE,0.96580153
huffpost.com,huffpost.com,78314463,US,0.85721995
skysports.com,skysports.com,78139512,GB,0.50973149
cbssports.com,cbssports.com,77871478,US,0.87426892
aftonbladet.se,aftonbladet.se,76864143,SE,0.94841967
haberturk.com,haberturk.com,76820715,TR,0.94087894
focus.de,focus.de,76205317,DE,0.91299828
lanacion.com.ar,lanacion.com.ar,76162030,AR,0.72326153
gsmarena.com,gsmarena.com,75712458,ID,0.16040461
leconjugueur.lefigaro.fr,lefigaro.fr,75648784,FR,0.84238026
wsj.com,wsj.com,75613857,US,0.75410568
actualidad.rt.com,rt.com,74930492,US,0.15531076
express.co.uk,express.co.uk,74421564,GB,0.6349585
apnews.com,apnews.com,74046032,US,0.83919942
mirror.co.uk,mirror.co.uk,73706771,GB,0.62598477
clarin.com,clarin.com,73356966,AR,0.70461507
libero.it,libero.it,73063416,IT,0.97957443
diariodeavisos.elespanol.com,elespanol.com,73021312,ES,0.6860966
ekstrabladet.dk,ekstrabladet.dk,72441443,DK,0.96682171
abcnews.go.com,go.com,72209346,US,0.81038799
hindi.sportskeeda.com,sportskeeda.com,71976570,IN,0.53286601
health.udn.com,udn.com,71496157,TW,0.8838315
24h.com.vn,24h.com.vn,71249723,VN,0.95922287
atmarkit.itmedia.co.jp,itmedia.co.jp,70550281,JP,0.98741894
hindi.moneycontrol.com,moneycontrol.com,70236919,IN,0.93364045
newspic.kr,newspic.kr,70166884,KR,0.95868493
medicalnewstoday.com,medicalnewstoday.com,69683083,US,0.44092498
drudgereport.com,drudgereport.com,69629137,US,0.93170575
timesofindia.com,timesofindia.com,68160814,IN,0.73473236
huawei.com,huawei.com,67910958,CN,0.1220081
indianexpress.com,indianexpress.com,66746197,IN,0.82230209
avis-de-deces.ouest-france.fr,ouest-france.fr,66128338,FR,0.9251556
welt.de,welt.de,65639347,DE,0.89611678
o2.pl,o2.pl,65570683,PL,0.85242743
independent.co.uk,independent.co.uk,65387092,GB,0.51935611
milliyet.com.tr,milliyet.com.tr,64742195,TR,0.93873342
bom.gov.au,bom.gov.au,64411024,AU,0.97647375
eltiempo.es,eltiempo.es,64274693,ES,0.97422575
telegraph.co.uk,telegraph.co.uk,64119193,GB,0.71088538
abc.es,abc.es,64011396,ES,0.77804088
3bmeteo.com,3bmeteo.com,63918341,IT,0.97933664
sabah.com.tr,sabah.com.tr,63617274,TR,0.92854761
hln.be,hln.be,63613054,BE,0.8915101
lenta.ru,lenta.ru,63408182,RU,0.71706073
rbc.ru,rbc.ru,63340228,RU,0.83835364
lavanguardia.com,lavanguardia.com,62458185,ES,0.7102762
ole.com.ar,ole.com.ar,62424794,AR,0.64480077
bloomberg.com,bloomberg.com,62359197,US,0.45235153
eenadu.net,eenadu.net,62179934,IN,0.8827661
politico.com,politico.com,62134849,US,0.8434626
nyheder.tv2.dk,tv2.dk,62125461,DK,0.96162552
ensonhaber.com,ensonhaber.com,61907669,TR,0.90394303
direkte.vg.no,vg.no,61553218,NO,0.93655329
foxbusiness.com,foxbusiness.com,61159558,US,0.94166523
france3-regions.francetvinfo.fr,francetvinfo.fr,60863685,FR,0.90773551
sofascore.com,sofascore.com,60186919,BR,0.092863
kr-weathernews.com,kr-weathernews.com,60055424,KR,0.96398498
telegraaf.nl,telegraaf.nl,60017226,NL,0.94654073
wunderground.com,wunderground.com,59875308,US,0.88981875
forecast.weather.gov,weather.gov,59777782,US,0.98091786
aceh.tribunnews.com,tribunnews.com,59299757,ID,0.96285868
sports.ru,sports.ru,59145210,RU,0.73199784
cnnindonesia.com,cnnindonesia.com,59120008,ID,0.9820189
sondakika.com,sondakika.com,58669295,TR,0.97638697
finance.rambler.ru,rambler.ru,58419226,RU,0.79743783
seznamzpravy.cz,seznamzpravy.cz,58333706,CZ,0.95713706
news.upday.com,upday.com,58323908,DE,0.27890072
delfi.lt,delfi.lt,58309392,LT,0.76576624
cbc.ca,cbc.ca,58030098,CA,0.79405908
the-sun.com,the-sun.com,57750158,US,0.89928956
india.com,india.com,57745896,IN,0.89915166
cnet.com,cnet.com,57701497,US,0.61803754
bangla.hindustantimes.com,hindustantimes.com,57544059,IN,0.7710274
stocks.zerodha.com,zerodha.com,56500307,IN,0.92870759
protothema.gr,protothema.gr,55933868,GR,0.90078095
eurosport.tvn24.pl,tvn24.pl,55896024,PL,0.82308185
forum.pravda.com.ua,pravda.com.ua,55050037,UA,0.63997977
business.nikkei.com,nikkei.com,54543223,JP,0.94103361
cbsnews.com,cbsnews.com,54407816,US,0.84273969
foxsports.com,foxsports.com,53615091,US,0.87290131
thehill.com,thehill.com,53499739,US,0.88503441
svenska.yle.fi,yle.fi,53336050,FI,0.94658384
rojadirectaenvivo.club,rojadirectaenvivo.club,53016960,CO,0.23473111
elconfidencial.com,elconfidencial.com,52475238,ES,0.78689865
sohu.com,sohu.com,52239664,CN,0.69826217
dr.dk,dr.dk,52194928,DK,0.94430982
chip.de,chip.de,52156319,DE,0.88718355
jutarnji.hr,jutarnji.hr,51935132,HR,0.80263333
akiba-pc.watch.impress.co.jp,impress.co.jp,51576223,JP,0.98925664
bfmtv.com,bfmtv.com,51236567,FR,0.87983116
zeit.de,zeit.de,50746446,DE,0.89721081
sony.com,sony.com,50448330,US,0.3410344
meteofrance.com,meteofrance.com,50430001,FR,0.97031112
expressen.se,expressen.se,50359643,SE,0.95102557
diretta.it,diretta.it,49499160,IT,0.96072606
bet9ja.com,bet9ja.com,49438712,NG,0.91256615
theweathernetwork.com,theweathernetwork.com,49326418,CA,0.85613328
news.mynavi.jp,mynavi.jp,49277994,JP,0.98739833
kurir.rs,kurir.rs,48927172,RS,0.70892652
haber7.com,haber7.com,48603474,TR,0.94583268
kicker.de,kicker.de,48340995,DE,0.85847443
nhl.com,nhl.com,48255704,US,0.46846323
3c.ltn.com.tw,ltn.com.tw,48209022,TW,0.88126772
sport.sky.it,sky.it,47217995,IT,0.9723502
asahi.com,asahi.com,47164220,JP,0.96394438
europarl.europa.eu,europa.eu,47142319,IT,0.09281866
yallakora.com,yallakora.com,47140740,EG,0.79653181
at.wetter.com,wetter.com,47074668,DE,0.90487487
metropoles.com,metropoles.com,47002700,BR,0.97787672
flashscore.com,flashscore.com,46809583,US,0.11532273
f5mail.rediff.com,rediff.com,46783496,IN,0.81297131
news.sportbox.ru,sportbox.ru,46779066,RU,0.8993876
ettoday.net,ettoday.net,46430636,TW,0.90980744
polygon.com,polygon.com,46270201,US,0.66450939
nbcsports.com,nbcsports.com,45877927,US,0.89062335
aljazeera.com,aljazeera.com,45602306,US,0.26097468
youm7.com,youm7.com,45459818,EG,0.74990001
donga.com,donga.com,45133183,KR,0.94377365
